Year,Elevation,Point,Fr_Abund,Fr_SP,FrIn_Abund,FrIn_SP,In_Abund,In_SP,InNEe_Abund,InNe_SP,Ne_Abund,Ne_SP,Time,INNE_Abund,INNE_SP,Sample
2010,200,1,12,7,11,6,25,14,10,4,5,2,t1,15,6,1
2010,200,2,16,9,10,6,20,13,8,4,1,1,t1,9,5,1
2010,200,3,11,7,23,11,20,12,9,6,3,2,t1,12,8,1
2010,200,4,7,6,12,7,11,10,3,3,2,2,t1,5,5,1
2010,200,5,13,6,11,8,10,6,3,3,1,1,t1,4,4,1
2010,200,6,6,4,14,6,11,9,2,2,4,2,t1,6,4,1
2010,200,7,12,5,10,6,24,13,6,2,7,3,t1,13,5,1
2010,200,8,13,6,11,4,17,13,9,4,5,2,t1,14,6,1
2010,200,9,6,3,15,6,17,10,4,4,5,2,t1,9,6,1
2010,200,10,8,4,29,7,15,9,4,2,3,2,t1,7,4,1
2010,200,11,9,7,17,8,16,9,3,2,1,1,t1,4,3,1
2010,200,12,9,7,28,8,24,10,7,3,4,1,t1,11,4,1
2010,200,13,3,2,18,6,20,12,3,1,2,1,t1,5,2,1
2010,700,1,7,4,9,5,10,8,8,3,4,2,t1,12,5,1
2010,700,2,5,3,18,6,23,10,7,3,5,1,t1,12,4,1
2010,700,3,6,2,4,3,26,11,5,3,1,1,t1,6,4,1
2010,700,4,4,2,16,6,11,6,2,1,4,2,t1,6,3,1
2010,700,5,3,2,8,5,9,5,3,2,4,3,t1,7,5,1
2010,700,6,5,4,15,6,5,3,6,4,4,3,t1,10,7,1
2010,700,7,11,4,7,5,16,10,10,2,3,1,t1,13,3,1
2010,700,8,3,2,12,5,14,8,5,3,2,1,t1,7,4,1
2010,700,9,15,3,3,2,11,8,11,3,4,3,t1,15,6,1
2010,700,10,23,2,13,3,13,8,14,3,2,1,t1,16,4,1
2010,700,11,21,1,19,4,2,2,25,3,15,3,t1,40,6,1
2010,700,12,9,5,13,5,14,8,16,5,6,3,t1,22,8,1
2010,700,13,1,1,12,4,10,6,7,3,2,1,t1,9,4,1
2010,1200,1,2,2,15,8,14,7,9,6,0,0,t1,9,6,1
2010,1200,2,0,0,16,8,23,10,4,3,1,1,t1,5,4,1
2010,1200,3,6,5,13,8,25,16,4,3,1,1,t1,5,4,1
2010,1200,4,6,4,20,9,16,10,6,3,1,1,t1,7,4,1
2010,1200,5,8,4,16,8,30,17,3,3,0,0,t1,3,3,1
2010,1200,6,1,1,17,5,25,16,5,3,2,1,t1,7,4,1
2010,1200,7,5,3,26,6,33,16,3,2,0,0,t1,3,2,1
2010,1200,8,8,3,26,7,29,16,0,0,0,0,t1,0,0,1
2010,1200,9,8,5,23,8,29,13,4,2,0,0,t1,4,2,1
2010,1200,10,9,4,19,6,24,13,1,1,2,1,t1,3,2,1
2010,1200,11,4,4,13,5,21,8,4,4,2,1,t1,6,5,1
2010,1200,12,5,4,11,7,24,14,1,1,3,2,t1,4,3,1
2010,1200,13,4,2,15,9,25,12,1,1,1,1,t1,2,2,1
2010,1700,1,1,1,10,7,26,15,3,2,0,0,t1,3,2,1
2010,1700,2,3,3,12,4,28,15,4,2,0,0,t1,4,2,1
2010,1700,3,3,2,15,8,16,11,1,1,3,1,t1,4,2,1
2010,1700,4,3,3,9,6,24,14,4,2,0,0,t1,4,2,1
2010,1700,5,3,2,14,7,24,13,8,4,0,0,t1,8,4,1
2010,1700,6,3,2,17,7,31,15,5,2,0,0,t1,5,2,1
2010,1700,7,2,1,24,12,31,19,6,3,1,1,t1,7,4,1
2010,1700,8,2,2,10,7,25,15,1,1,0,0,t1,1,1,1
2010,1700,9,4,3,7,4,34,17,5,3,0,0,t1,5,3,1
2010,1700,10,3,2,10,7,25,17,4,3,0,0,t1,4,3,1
2010,1700,11,3,2,8,5,28,15,1,1,0,0,t1,1,1,1
2010,1700,12,3,2,13,5,33,14,5,2,0,0,t1,5,2,1
2010,1700,13,6,4,10,6,41,12,3,2,0,0,t1,3,2,1
2010,2200,1,1,1,4,4,11,8,14,4,0,0,t1,14,4,1
2010,2200,2,1,1,6,4,11,7,7,4,1,1,t1,8,5,1
2010,2200,3,3,2,3,1,19,6,9,3,6,2,t1,15,5,1
2010,2200,4,2,2,10,3,21,8,8,4,8,1,t1,16,5,1
2010,2200,5,6,3,6,3,18,9,17,3,2,1,t1,19,4,1
2010,2200,6,5,3,6,5,13,7,16,4,5,1,t1,21,5,1
2010,2200,7,3,2,3,2,26,11,9,3,14,2,t1,23,5,1
